APCD (19421),BSAS (34757),CaseMix (20101),RVRS Death (677),RVRS Birth (209),PMP (32725),Count
0,0,0,0,0,0,0
0,0,0,0,0,1,21281
0,0,0,0,1,0,48
0,0,0,0,1,1,19
0,0,0,1,0,0,428
0,0,0,1,0,1,18
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,1,0,0,0,8266
0,0,1,0,0,1,1754
0,0,1,0,1,0,6
0,0,1,0,1,1,12
0,0,1,1,0,0,74
0,0,1,1,0,1,11
0,0,1,1,1,0,0
0,0,1,1,1,1,0
0,1,0,0,0,0,14606
0,1,0,0,0,1,3932
0,1,0,0,1,0,16
0,1,0,0,1,1,3
0,1,0,1,0,0,54
0,1,0,1,0,1,11
0,1,0,1,1,0,0
0,1,0,1,1,1,0
0,1,1,0,0,0,4334
0,1,1,0,0,1,1732
0,1,1,0,1,0,10
0,1,1,0,1,1,5
0,1,1,1,0,0,36
0,1,1,1,0,1,7
0,1,1,1,1,0,1
0,1,1,1,1,1,0
1,0,0,0,0,0,6587
1,0,0,0,0,1,1602
1,0,0,0,1,0,8
1,0,0,0,1,1,2
1,0,0,1,0,0,3
1,0,0,1,0,1,0
1,0,0,1,1,0,0
1,0,0,1,1,1,0
1,0,1,0,0,0,847
1,0,1,0,0,1,335
1,0,1,0,1,0,14
1,0,1,0,1,1,6
1,0,1,1,0,0,6
1,0,1,1,0,1,1
1,0,1,1,1,0,0
1,0,1,1,1,1,0
1,1,0,0,0,0,6092
1,1,0,0,0,1,1245
1,1,0,0,1,0,17
1,1,0,0,1,1,2
1,1,0,1,0,0,9
1,1,0,1,0,1,1
1,1,0,1,1,0,0
1,1,0,1,1,1,0
1,1,1,0,0,0,1859
1,1,1,0,0,1,728
1,1,1,0,1,0,29
1,1,1,0,1,1,11
1,1,1,1,0,0,10
1,1,1,1,0,1,7
1,1,1,1,1,0,0
1,1,1,1,1,1,0